latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
46.50509627,-89.99575849, 16T, Bedding,30,1,271,-2.93007779, Jacobsville, Sat Jul 10 13:13:54 2021
46.50503616,-89.99574746, 16T, Bedding,32,347,257,-2.93007779, Jacobsville, Sat Jul 10 13:13:31 2021
