latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
46.48103397,-89.09030325, 16T, Bedding,4.63076115,320.232605,230.232605,-2.65420532, Jacobsville, Tue Jul 13 11:51:14 2021
46.48109088,-89.09036058, 16T, Bedding,6.23520279,353.8203735,263.8203735,-2.65420532, Jacobsville, Tue Jul 13 11:51:02 2021
46.48104935,-89.09029, 16T, Bedding,4.03918743,1.44650209,271.4465027,-2.65420532, Jacobsville, Tue Jul 13 11:50:39 2021
46.48107701,-89.09029386, 16T, Bedding,3.15909696,16.722332,286.7223511,-2.65420532, Jacobsville, Tue Jul 13 11:50:33 2021
46.4809753,-89.09041615, 16T, Bedding,3.13730168,313.83078,223.83078,-2.65420532, Jacobsville, Tue Jul 13 10:48:39 2021
46.48099344,-89.09029126, 16T, Bedding,4.05973244,190.8739471,100.8739471,-2.65420532, Jacobsville, Tue Jul 13 10:48:20 2021
46.48113476,-89.09213101, 16T, Bedding,3.13197947,287.9688721,197.9688721,-2.65420532, Jacobsville, Tue Jul 13 10:48:08 2021
46.48088682,-89.08962658, 16T, Bedding,1.64728677,101.2154846,11.21548462,-2.65420532, Jacobsville, Tue Jul 13 10:44:41 2021
46.48089902,-89.09047977, 16T, Bedding,4.12341833,358.0184326,268.0184326,-2.65420532, Jacobsville, Tue Jul 13 10:43:01 2021
46.48110459,-89.09039327, 16T, Bedding,0,0,270,-2.65420532, Jacobsville, Tue Jul 13 10:42:49 2021
46.48114025,-89.09104345, 16T, Bedding,5.08076096,338.7410584,248.7410584,-2.65420532, Jacobsville, Tue Jul 13 10:42:42 2021
46.48091503,-89.09027861, 16T, Bedding,4.42987871,165.7549133,75.75491333,-2.65420532, Jacobsville, Tue Jul 13 10:41:43 2021
46.48087748,-89.09041037, 16T, Bedding,3.21491909,51.97134399,321.971344,-2.65420532, Jacobsville, Tue Jul 13 10:40:49 2021
46.4809126,-89.090102, 16T, Bedding,6.09456682,286.1340332,196.1340332,-2.65420532, Jacobsville, Tue Jul 13 10:40:36 2021
46.48092844,-89.08997459, 16T, Bedding,3.93810129,264.7962341,174.7962341,-2.65420532, Jacobsville, Tue Jul 13 10:40:29 2021
46.48098259,-89.09017039, 16T, Bedding,4.78632545,330.9719849,240.9719849,-2.65420532, Jacobsville, Tue Jul 13 09:37:56 2021
46.48101624,-89.09027274, 16T, Bedding,4.30929804,266.1277771,176.1277771,-2.65420532, Jacobsville, Tue Jul 13 09:37:21 2021
46.48093334,-89.09047742, 16T, Bedding,3.15647578,209.5773163,119.5773163,-2.65420532, Jacobsville, Tue Jul 13 09:36:57 2021
46.48096419,-89.09026016, 16T, Bedding,8.67324543,332.8956299,242.8956299,-2.65420532, Jacobsville, Tue Jul 13 09:36:17 2021
46.48074806,-89.09010253, 16T, Bedding,9.51154518,348.1717224,258.1717224,-2.65420532, Jacobsville, Tue Jul 13 09:35:31 2021
46.48083201,-89.09019353, 16T, Bedding,10.32929707,346.2005005,256.2005005,-2.65420532, Jacobsville, Tue Jul 13 09:35:25 2021
46.48094839,-89.0902113, 16T, Bedding,0,0,270,-2.65420532, Jacobsville, Mon Jul 12 17:12:19 2021
46.48085212,-89.09030182, 16T, Bedding,6.63656998,6.23417521,276.2341919,-2.65420532, Jacobsville, Mon Jul 12 17:11:55 2021
46.48099906,-89.09041774, 16T, Bedding,7.80182934,336.8059387,246.8059387,-2.65420532, Jacobsville, Mon Jul 12 17:11:37 2021
46.48103397,-89.09026947, 16T, Bedding,14.83907604,350.6022644,260.6022644,-2.65420532, Jacobsville, Mon Jul 12 15:42:23 2021
46.48117311,-89.09028347, 16T, Bedding,15.79504395,325.7912903,235.7912903,-2.65420532, Jacobsville, Mon Jul 12 15:41:56 2021
46.48114155,-89.09041221, 16T, Bedding,13.34013844,346.677887,256.677887,-2.65420532, Jacobsville, Mon Jul 12 15:41:35 2021
46.48113086,-89.09042638, 16T, Bedding,14.68464661,315.2301636,225.2301636,-2.65420532, Jacobsville, Mon Jul 12 15:41:27 2021
46.48116934,-89.09033979, 16T, Bedding,11.43928719,271.4415588,181.4415588,-2.65420532, Jacobsville, Mon Jul 12 15:41:18 2021
46.48118095,-89.09027844, 16T, Bedding,11.12318611,336.2895508,246.2895508,-2.65420532, Jacobsville, Mon Jul 12 15:41:01 2021
46.48094944,-89.09000063, 16T, Bedding,2,0,270,-2.79259515, Jacobsville, Mon Jul 12 16:06:46 2021
46.48105165,-89.09031381, 16T, Bedding,5,275,185,-2.79259515, Jacobsville, Mon Jul 12 13:52:59 2021
46.48112246,-89.08995701, 16T, Bedding,3,48,318,-2.79259515, Jacobsville, Mon Jul 12 10:38:46 2021
46.48113075,-89.08996567, 16T, Bedding,2,0,270,-2.79259515, Jacobsville, Mon Jul 12 10:38:24 2021
46.48110761,-89.08998559, 16T, Bedding,3,286,196,-2.79259515, Jacobsville, Mon Jul 12 10:37:45 2021
46.48115659,-89.08998852, 16T, Bedding,2,0,270,-2.79259515, Jacobsville, Mon Jul 12 10:16:31 2021
46.48113319,-89.08999794, 16T, Bedding,1,0,270,-2.79259515, Jacobsville, Mon Jul 12 10:14:20 2021
