localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, d26c7c9aebfa87db4e00232f6565b908,394297.0475,5232914.3,47.2411994,-88.39666885, 16T,2.17491303,5.52310479,-1, Overturned bedding,86.98719025,294.8866577,206.6893816,-2.65357494, Jacobsville, Mon Jul 27 11:08:52 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, 1f4b7bdf71cc14e8b5afca8e6d0f0af5,394302.601,5232914.624,47.24120321,-88.39659557, 16T,2.11539413,27.02883917,-1, Overturned bedding,82.47136688,289.1636658,200.9663897,-2.65357494, Jacobsville, Mon Jul 27 11:08:32 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, f316b14e50087766a5a526456b8d44da,394298.345,5232912.954,47.24118751,-88.39665139, 16T,3.55248078,5.39257287,-1, Overturned bedding,84.91183472,288.8035584,200.6062823,-2.65357494, Jacobsville, Mon Jul 27 11:06:56 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, e1409db5f34480413514c0e0e7f5b685,394299.0143,5232906.045,47.24112546,-88.39664091, 16T,3.85163792,11.19562778,-1, Overturned bedding,83.22595215,286.1311951,197.933919,-2.65357494, Jacobsville, Mon Jul 27 11:06:35 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, ef375f80db913c5750da09eca1e68a49,394298.6825,5232912.429,47.24118283,-88.39664681, 16T,3.6744226,6.25345045,-1, Overturned bedding,86.4967804,297.7041931,209.506917,-2.65357494, Jacobsville, Mon Jul 27 11:06:06 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, 7d5c700e96de400cf03324633c417b40,394298.5995,5232906.371,47.24112832,-88.39664647, 16T,3.833274,6.32543883,-1, Overturned bedding,89,114.0809097,25.88363362,-2.65357494, Jacobsville, Mon Jul 27 11:05:53 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, dd5cf5709132a6f3c41f90efe63f78c4,394300.1994,5232901.347,47.24108339,-88.39662415, 16T,3.62007165,5.75890321,-1, Overturned bedding,85.61459351,297.634491,209.4372149,-2.65357494, Jacobsville, Mon Jul 27 11:05:45 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, 3e82ee6ac3865fe7a26d67977444a913,394297.9172,5232906.124,47.24112599,-88.39665542, 16T,3.54579809,5.30335639,-1, Overturned bedding,83.17516327,289.1749878,200.9777117,-2.65357494, Jacobsville, Mon Jul 27 11:05:35 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, 62473afb7ffa5c7ce62b85a3fd2c54e2,394296.1546,5232897.912,47.24105183,-88.39667677, 16T,3.93196199,11.77935529,-1, Overturned bedding,86.26192474,286.1758118,197.9785357,-2.65357494, Jacobsville, Mon Jul 27 11:05:15 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, ea43b2f6ab228ebe112865e63f5674bb,394297.1271,5232901.13,47.24108094,-88.39666468, 16T,3.55898534,4.86825954,-1, Overturned bedding,78.16226959,288.3532105,200.1559344,-2.65357494, Jacobsville, Mon Jul 27 11:05:00 2020
c72e9f309a237586aa4bebf4bcdd4ed7, Locality 1, ac8ae63a549d902f405e3f4af061111a,394295.0841,5232903.212,47.24109934,-88.39669216, 16T,3.75520688,5.73906168,-1, Overturned bedding,82.50214386,297.3039246,209.1066485,-2.65357494, Jacobsville, Mon Jul 27 11:04:43 2020
