tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hct	85.9	22.5		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  190.8 	  101.1 	   11.3 	  356.8 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hdt	82.4	20.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  188.6 	   98.8 	   12.8 	    0.2 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hct	85.5	22.9		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  191.2 	  101.5 	   11.8 	  356.9 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hdt	82.0	20.6		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  189.0 	   99.2 	   13.2 	    0.3 
AF1-16a	Keweenaw Peninsula	AF1-16a	AF1-16a	992.0	985.0	Ma		hdt	276.7	27.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  196.0 	  106.7 	   15.0 	  186.9 
AF1-16a	Keweenaw Peninsula	AF1-16a	AF1-16a	992.0	985.0	Ma		hdt	277.1	26.6		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  195.3 	  105.9 	   15.1 	  186.3 
AF1-17a	Keweenaw Peninsula	AF1-17a	AF1-17a	992.0	985.0	Ma		hdt	266.6	69.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  306.6 	  261.2 	   34.1 	  225.0 
AF1-17a	Keweenaw Peninsula	AF1-17a	AF1-17a	992.0	985.0	Ma		hdt	268.9	68.8		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  305.1 	  258.6 	   34.9 	  223.4 
AF1-18a	Keweenaw Peninsula	AF1-18a	AF1-18a	992.0	985.0	Ma		hdt	68.5	13.8		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  184.0 	   94.0 	   19.7 	   13.1 
AF1-18a	Keweenaw Peninsula	AF1-18a	AF1-18a	992.0	985.0	Ma		hdt	68.3	13.9		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  184.0 	   94.1 	   19.8 	   13.2 
AF1-19a	Keweenaw Peninsula	AF1-19a	AF1-19a	992.0	985.0	Ma		hdt	73.1	12.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  183.1 	   93.1 	   16.0 	   10.1 
AF1-19a	Keweenaw Peninsula	AF1-19a	AF1-19a	992.0	985.0	Ma		hdt	72.9	12.4		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  183.2 	   93.2 	   16.2 	   10.2 
AF1-1a	Keweenaw Peninsula	AF1-1a	AF1-1a	992.0	985.0	Ma		lt	12.8	60.8		1.0	1	1	0	n		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  275.0 	  210.0 	   79.4 	   28.2 
AF1-1a	Keweenaw Peninsula	AF1-1a	AF1-1a	992.0	985.0	Ma		hdt	281.6	-18.5		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  187.2 	   97.4 	    0.8 	  166.9 
AF1-1a	Keweenaw Peninsula	AF1-1a	AF1-1a	992.0	985.0	Ma		hct	89.6	25.5		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  194.0 	  104.5 	   10.1 	  352.9 
