tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AF1-10a	AF1-10a_LP-DIR-T	AF1-10a		hdt	51.2	48.2	1	13	-1	0.0	3.8	956	913	K		hargrave 2021-07-06 17:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Keweenaw Peninsula	AF1-10a
AF1-10a		AF1-10a																	This study	LP-NOMAG				Keweenaw Peninsula	AF1-10a
AF1-10a	AF1-10a_LP-DIR-T	AF1-10a		hdt	276.5	-11.3	1	13	0	0.0	3.8	956	913	K		hargrave 2021-07-06 17:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Keweenaw Peninsula	AF1-10a
AF1-10a	AF1-10a_LP-DIR-T	AF1-10a		hdt	276.4	-11.9	1	13	100	0.0	3.8	956	913	K		hargrave 2021-07-06 17:15:47	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Keweenaw Peninsula	AF1-10a
AF1-11a	AF1-11a_LP-DIR-T	AF1-11a		hdt	276.6	-9.0	1	13	0	0.0	2.7	959	923	K		hargrave 2021-07-06 17:17:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Keweenaw Peninsula	AF1-11a
AF1-11a	AF1-11a_LP-DIR-T	AF1-11a		hdt	276.5	-9.6	1	13	100	0.0	2.7	959	923	K		hargrave 2021-07-06 17:17:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Keweenaw Peninsula	AF1-11a
AF1-11a		AF1-11a																	This study	LP-NOMAG				Keweenaw Peninsula	AF1-11a
AF1-11a	AF1-11a_LP-DIR-T	AF1-11a		hdt	54.3	42.8	1	13	-1	0.0	2.7	959	923	K		hargrave 2021-07-06 17:17:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Keweenaw Peninsula	AF1-11a
AF1-12a	AF1-12a_LP-DIR-T	AF1-12a		hdt	66.7	34.0	1	13	-1	0.0	3.4	959	923	K		hargrave 2021-07-06 17:21:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Keweenaw Peninsula	AF1-12a
AF1-12a	AF1-12a_LP-DIR-T	AF1-12a		hdt	288.7	-12.4	1	13	0	0.0	3.4	959	923	K		hargrave 2021-07-06 17:21:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Keweenaw Peninsula	AF1-12a
AF1-12a	AF1-12a_LP-DIR-T	AF1-12a		hdt	288.6	-13.1	1	13	100	0.0	3.4	959	923	K		hargrave 2021-07-06 17:21:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Keweenaw Peninsula	AF1-12a
AF1-12a		AF1-12a																	This study	LP-NOMAG				Keweenaw Peninsula	AF1-12a
AF1-13a	AF1-13a_LP-DIR-T	AF1-13a		hct	73.8	10.2	2	6	100	142.4	33.1	773	373	K		hargrave 2021-07-06 17:23:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	AF1-13a
AF1-13a	AF1-13a_LP-DIR-T	AF1-13a		hdt	285.5	-16.7	2	13	100	0.0	3.0	959	923	K		hargrave 2021-07-06 17:23:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Keweenaw Peninsula	AF1-13a
AF1-13a	AF1-13a_LP-DIR-T	AF1-13a		hct	73.9	10.0	2	6	0	142.4	33.1	773	373	K		hargrave 2021-07-06 17:23:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	AF1-13a
AF1-13a	AF1-13a_LP-DIR-T	AF1-13a		hct	235.4	-54.0	2	6	-1	142.4	33.1	773	373	K		hargrave 2021-07-06 17:23:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	AF1-13a
AF1-13a	AF1-13a_LP-DIR-T	AF1-13a		hdt	66.9	23.7	2	13	-1	0.0	3.0	959	923	K		hargrave 2021-07-06 17:23:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Keweenaw Peninsula	AF1-13a
AF1-13a	AF1-13a_LP-DIR-T	AF1-13a		hdt	285.7	-16.1	2	13	0	0.0	3.0	959	923	K		hargrave 2021-07-06 17:23:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Keweenaw Peninsula	AF1-13a
AF1-13a		AF1-13a																	This study	LP-NOMAG				Keweenaw Peninsula	AF1-13a
AF1-14a	AF1-14a_LP-DIR-T	AF1-14a		hdt	282.5	-3.0	2	14	100	0.0	4.2	959	923	K		hargrave 2021-07-06 17:24:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Keweenaw Peninsula	AF1-14a
AF1-14a	AF1-14a_LP-DIR-T	AF1-14a		hdt	77.9	46.8	2	14	-1	0.0	4.2	959	923	K		hargrave 2021-07-06 17:24:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Keweenaw Peninsula	AF1-14a
