symbol,lat,lon,Dec,Inc,Dec',Inc',unit
WA,45.39,-79.87,112.4,40.8,112.8,41.8,WHITESTONE ANORTHOSITE
HI,44.95,-78.44,105,34,104.6,33.5,HALIBURTON INTRUSIONS
HI,44.95,-78.44,300,10,299.6,10.7,HALIBURTON INTRUSIONS
TH,44.5,-77.8,308,-13,307,-11.1,THANET GABBRO
LA,48.3,-70.95,109,45,101,39.1,LAC ST JEAN ANORTHOSITE
MM,53.1,-60.7,300,-19,284.9,-3.1,MEALY MTS ANORTHOSITE
UG,44.94,-77.8,100.4,44.6,99.4,43.4,UMFRAVILLE GABBRO
KD,44.3,-76.25,103,50,101.1,47.6,KINGSTON DYKES
MA,46,-74.25,114,38,109.8,33.9,MORIN ANORTHOSITE
CG,44.5,-77.75,306,-2,305,0.04,CORDOVA GABBRO
SUA,47.5,-70.4,113,35,105.5,27.4,ST URBAINE ANORTHOSITE
SUA,47.5,-70.4,309,-25,293.3,-23.3,ST URBAINE ANORTHOSITE
