study,N,Dec,Inc,k,a95,Plat,Plon,dp,dm
RVA       RIVER VALLEY ANORTHOSITE,8[14],123.5,17,98,5.6,-16.2,340,2.9,5.7
SD        METAMORPHOSED SUDBURY DYKES,10[12],112.2,28.8,139,4.1,-4,344.5,2.5,4.5
FLA       FALL LAKE ANORTHOSITE,3[3],118.2,27.4,170,9.5,-8.4,340.6,5.5,10.2
FRA**    FRENCH RIVER ANORTHOSITE,14[19],129.2,27,ND,4.1,-15,332,2.3,4.4
MIG       MICHAEL GABBRO,21[21],118.6,23.8,161,2.5,-10.3,341.6,1.6,2.8
BI          BUSTARD ISLANDS GNEISS,6[12],121.8,30.3,141,5.1,-9.2,336.7,3,5.6
"SL*        SEAL LAKE SILLS, VOLCANICS",8[14],123.4,32.5,79,6.3,-9,334.6,4.2,7.3
