,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,HF2-,,,,,,,,,,,,,,,,,,,,,
site_name,Hungarian Falls 2,,,,,,,,,,,,,,,,,,,,,
site_lat,47.17034316,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-88.44573867,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0.0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1,mag compass orientation (IGRF corrected),57.47,226,80.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,5.0,1.0,nan,nan,[355.80646100572187; 72.71171480994751; 55597.00043644866],-4.1935389942781285,insufficient data,221.8,nan
2,mag compass orientation (IGRF corrected),57.47,231,60.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,12.0,1.0,nan,nan,[355.8064609225834; 72.71171374304677; 55596.99916364676],-4.193539077416574,insufficient data,226.8,nan
3,mag compass orientation (IGRF corrected),57.1,192,61.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,16.0,1.0,nan,nan,[355.80646087507574; 72.7117131333892; 55596.998436331385],-4.193539124924257,insufficient data,187.8,nan
4,mag compass orientation (IGRF corrected),57.14,191,45.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,27.0,1.0,nan,nan,[355.8064607444296; 72.71171145683076; 55596.99643621422],-4.193539255570386,insufficient data,186.8,nan
5,mag compass orientation (IGRF corrected),57.11,210,30.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,34.0,1.0,nan,nan,[355.80646066129117; 72.71171038992988; 55596.9951634124],-4.193539338708831,insufficient data,205.8,nan
6,mag compass orientation (IGRF corrected),57.09,205,16.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,41.0,1.0,nan,nan,[355.8064605781527; 72.71170932302893; 55596.99389061055],-4.193539421847277,insufficient data,200.8,nan
7,mag compass orientation (IGRF corrected),57.06,224,59.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,15.0,45.0,1.0,nan,nan,[355.80646053064504; 72.71170871337124; 55596.993163295265],-4.19353946935496,insufficient data,219.8,nan
