,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,SC1-,,,,,,,,,,,,,,,,,,,,,
site_name,Snake Creek 1,,,,,,,,,,,,,,,,,,,,,
site_lat,47.342042,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-88.170845,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,260.821011,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,5.525,13,34.0,70.0,95.0,no,41.0,-4.0,2020.0,7.0,26.0,12.0,16.0,1.0,nan,355.5,[355.54718539389046; 72.89896639901629; 55733.474041257265],-4.452814606109541,-17.5,355.5,nan
2a,mag compass orientation (IGRF corrected),5.52,4,29.0,70.0,95.0,no,nan,-4.0,2020.0,7.0,26.0,13.0,3.0,1.0,nan,nan,[355.5471851604001; 72.89895925280204; 55733.46556368316],-4.45281483959991,insufficient data,359.5,nan
3a,sun compass orientation,5.57,34,35.0,70.0,95.0,no,30.0,-4.0,2020.0,7.0,26.0,1.0,1.0,1.0,nan,182.1,[355.54718874722283; 72.89906903057721; 55733.59579374721],-4.452811252777167,148.1,182.1,nan
4a,sun compass orientation,5.57,17,27.0,70.0,95.0,no,35.0,-4.0,2020.0,7.0,26.0,13.0,10.0,1.0,nan,11.2,[355.54718512562494; 72.89895818847205; 55733.46430106578],-4.452814874375065,-5.800000000000001,11.2,nan
5a,mag compass orientation (IGRF corrected),5.57,25,33.0,70.0,95.0,no,nan,-4.0,2020.0,7.0,26.0,13.0,15.0,1.0,nan,nan,[355.5471851007855; 72.89895742823632; 55733.46339919628],-4.452814899214502,insufficient data,20.5,nan
