                                            ,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AF1-,,,,,,,,,,,,,,,,,,,,,
site_name,Agate Falls 1,,,,,,,,,,,,,,,,,,,,,
site_lat,46.481209,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-89.090305,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,347.258972,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,0.6,345,70.0,242.0,1.0,no,351.0,-4.0,2020.0,7.0,30.0,13.0,38.0,1.0,nan,338.7,[356.47837546867635; 72.32114467135825; 55445.202019451586],-3.5216245313236527,-6.300000000000011,338.7,nan
2a,mag compass orientation (IGRF corrected),0.85,344,78.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,13.0,41.0,1.0,nan,nan,[356.478375372744; 72.32114422050266; 55445.2014638987],-3.521624627256017,insufficient data,340.5,nan
4a,mag compass orientation (IGRF corrected),0.92,11,84.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,13.0,50.0,1.0,nan,nan,[356.4783750849468; 72.32114286793588; 55445.19979724011],-3.5216249150532235,insufficient data,7.5,nan
5a,sun compass orientation,1,11,80.0,242.0,1.0,no,367.0,-4.0,2020.0,7.0,30.0,13.0,56.0,1.0,nan,3.6,[356.478374893082; 72.32114196622463; 55445.198686134405],-3.521625106918009,-7.4,3.6,nan
6a,mag compass orientation (IGRF corrected),1.01,338,76.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,8.0,1.0,nan,nan,[356.4783745093525; 72.321140162802; 55445.19646392303],-3.521625490647523,insufficient data,334.5,nan
7a,mag compass orientation (IGRF corrected),1.13,338,73.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,15.0,1.0,nan,nan,[356.4783742855103; 72.32113911080543; 55445.19516763309],-3.521625714489687,insufficient data,334.5,nan
8a,sun compass orientation,1.23,335,71.0,242.0,1.0,no,319.0,-4.0,2020.0,7.0,30.0,14.0,28.0,1.0,nan,331.5,[356.4783738698034; 72.32113715709733; 55445.19276023753],-3.52162613019658,-3.5,331.5,nan
9a,mag compass orientation (IGRF corrected),1.28,338,76.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,38.0,1.0,nan,nan,[356.4783735500289; 72.32113565424481; 55445.190908394834],-3.5216264499711087,insufficient data,334.5,nan
10a,mag compass orientation (IGRF corrected),1.36,338,74.0,242.0,1.0,no,nan,-4.0,2020.0,7.0,30.0,14.0,47.0,1.0,nan,nan,[356.47837326223186; 72.3211343016775; 55445.18924173643],-3.5216267377681447,insufficient data,334.5,nan
