tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
SC1-1a	SC1-1		This study	LP-NOMAG		
SC1-2a	SC1-2		This study	LP-NOMAG		
SC1-3a	SC1-3		This study	LP-NOMAG		
SC1-4a	SC1-4		This study	LP-NOMAG		
SC1-5a	SC1-5		This study	LP-NOMAG		
SC1-6a	SC1-6		This study	LP-NOMAG		
SC1-7a	SC1-7		This study	LP-NOMAG		
SC1-8a	SC1-8		This study	LP-NOMAG		
SC1-9a	SC1-9		This study	LP-NOMAG		
SC1-10a	SC1-10		This study	LP-NOMAG		
SC1-11a	SC1-11		This study	LP-NOMAG		
SC1-12a	SC1-12		This study	LP-NOMAG		
SC1-13a	SC1-13		This study	LP-NOMAG		
SC1-14a	SC1-14		This study	LP-NOMAG		
SC1-15a	SC1-15		This study	LP-NOMAG		
SC1-16a	SC1-16		This study	LP-NOMAG		
SC1-17a	SC1-17		This study	LP-NOMAG		
SC1-18a	SC1-18		This study	LP-NOMAG		
SC1-19a	SC1-19		This study	LP-NOMAG		
SC1-20a	SC1-20		This study	LP-NOMAG		
SC1-21a	SC1-21		This study	LP-NOMAG		
SC1-22a	SC1-22		This study	LP-NOMAG		
SC1-24a	SC1-24		This study	LP-NOMAG		
SC1-25a	SC1-25		This study	LP-NOMAG		
SC1-26a	SC1-26		This study	LP-NOMAG		
SC1-27a	SC1-27		This study	LP-NOMAG		
SC1-28a	SC1-28		This study	LP-NOMAG		
SC1-30a	SC1-30		This study	LP-NOMAG		
SC1-31a	SC1-31		This study	LP-NOMAG		
SC1-32a	SC1-32		This study	LP-NOMAG		
SC1-34a	SC1-34		This study	LP-NOMAG		
SC1-35a	SC1-35		This study	LP-NOMAG		
SC1-36a	SC1-36		This study	LP-NOMAG		
SC1-37a	SC1-37		This study	LP-NOMAG		
SC1-38a	SC1-38		This study	LP-NOMAG		
SC1-39a	SC1-39		This study	LP-NOMAG		
