tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
SC1-1	SC1	5.525					265.5	0	95	160	-34	This study	SO-CMD-NORTH
SC1-2	SC1	5.52					-90.4	0	95	160	-29	This study	SO-CMD-NORTH
SC1-3	SC1	5.57					-60.4	0	95	160	-35	This study	SO-CMD-NORTH
SC1-4	SC1	5.57					-78.8	0	95	160	-27	This study	SO-CMD-NORTH
SC1-5	SC1	5.57					-69.4	0	95	160	-33	This study	SO-CMD-NORTH
SC1-6	SC1	25.9					-66.4	0	93	164	-20	This study	SO-CMD-NORTH
SC1-7	SC1	25.96					199.6	0	93	164	-13	This study	SO-CMD-NORTH
SC1-8	SC1	25.98					253.6	0	93	164	-13	This study	SO-CMD-NORTH
SC1-9	SC1	26.13					224.6	0	93	164	-22	This study	SO-CMD-NORTH
SC1-10	SC1	26.16					248.6	0	93	164	-22	This study	SO-CMD-NORTH
SC1-11	SC1	26.19					-19.4	0	93	164	-35	This study	SO-CMD-NORTH
SC1-12	SC1	66.2					87.6	0	81	157	-43	This study	SO-CMD-NORTH
SC1-13	SC1	66.25					61.6	0	81	157	-36	This study	SO-CMD-NORTH
SC1-14	SC1	66.24					64.6	0	81	157	-24	This study	SO-CMD-NORTH
SC1-15	SC1	66.25					56.6	0	81	157	-29	This study	SO-CMD-NORTH
SC1-16	SC1	66.28					83.6	0	81	157	-38	This study	SO-CMD-NORTH
SC1-17	SC1	66.43					65.6	0	81	157	-44	This study	SO-CMD-NORTH
SC1-18	SC1	66.48					80.6	0	81	157	-35	This study	SO-CMD-NORTH
SC1-19	SC1	66.5					55.6	0	81	157	-8	This study	SO-CMD-NORTH
SC1-20	SC1	66.565					68.6	0	81	157	-20	This study	SO-CMD-NORTH
SC1-21	SC1	66.665					91.9	0	81	157	-31	This study	SO-CMD-NORTH
SC1-22	SC1	55.715					96.6	0	81	157	-36	This study	SO-CMD-NORTH
SC1-24	SC1	67.67					89.6	0	81	157	-28	This study	SO-CMD-NORTH
SC1-25	SC1	67.72					147.5	0	81	157	-20	This study	SO-CMD-NORTH
SC1-26	SC1	667.72					149.3	0	81	157	-14	This study	SO-CMD-NORTH
SC1-27	SC1	67.72					139.6	0	81	157	-13	This study	SO-CMD-NORTH
SC1-28	SC1	68.16					87.6	0	81	157	-19	This study	SO-CMD-NORTH
SC1-30	SC1	68.48					114.6	0	81	157	-20	This study	SO-CMD-NORTH
SC1-31	SC1	68.48					120.3	0	81	157	-25	This study	SO-CMD-NORTH
SC1-32	SC1	87.63					260.6	0	39	160	-86	This study	SO-CMD-NORTH
SC1-34	SC1	87.66					263.6	0	39	160	-83	This study	SO-CMD-NORTH
SC1-35	SC1	87.6					261.6	0	39	160	-82	This study	SO-CMD-NORTH
SC1-36	SC1	87.58					252.6	0	39	160	-82	This study	SO-CMD-NORTH
SC1-37	SC1	87.58					252.6	0	39	160	-83	This study	SO-CMD-NORTH
SC1-38	SC1	87.65					255.6	0	39	160	-79	This study	SO-CMD-NORTH
SC1-39	SC1	87.65					247.6	0	39	160	-80	This study	SO-CMD-NORTH
