0,thickness,lithology,grain size,structure,note
0.6,0.6,sandstone,M,,
0.7,0.1,siltstone,VF,,
1.4,0.7,sandstone,M,,
1.5,0.1,conglomerate,Cobble,,
3.2,1.7,cover,cover,,
4.6,1.4,sandstone,M,,
5,0.4,siltstone,VF,,
7,2,cover,cover,,
7.4,0.4,sandstone,VC,,
8.6,1.2,sandstone,M,,
8.8,0.2,siltstone,VF,,
9.1,0.3,cover,cover,,
9.4,0.3,sandstone,M,,
9.8,0.4,conglomerate,Pebble,,
10.5,0.7,sandstone,M,,
11.5,1,conglomerate,Pebble,,
11.7,0.2,sandstone,F,,
12,0.3,conglomerate,Cobble,,
22,10,cover,cover,,
22.2,0.2,sandstone,M,,
23.7,1.5,cover,cover,,
25.6,1.9,sandstone,M,,
26.4,0.8,conglomerate,Pebble,,
27.3,0.9,sandstone,F,,
27.4,0.1,sandstone,F,,
27.6,0.2,conglomerate,Cobble,,
28.3,0.7,sandstone,M,,
31.3,3,cover,cover,,
31.8,0.5,conglomerate,Pebble,,
32,0.2,arkose,M,,
32.6,0.6,sandstone,M,,
32.7,0.1,siltstone,F,,
36.4,3.7,arkose,F,,
39.4,3,cover,cover,,
39.6,0.2,conglomerate,Pebble,,
39.7,0.1,sandstone,VF,,
40.8,1.1,conglomerate,Pebble,,
41,0.2,sandstone,VF,,
41.4,0.4,conglomerate,Pebble,,
41.7,0.3,siltstone,F,,
42.8,1.1,sandstone,VF,,
43,0.2,sandstone,C,,
43.3,0.3,conglomerate,Cobble,,
43.5,0.2,sandstone,M,,
46,2.5,conglomerate,Cobble,,
46.2,0.2,sandstone,M,,
47,0.8,conglomerate,Cobble,,
58.5,11.5,cover,cover,,
59.8,1.3,conglomerate,Cobble,,
60.3,0.5,siltstone,F,,
60.6,0.3,sandstone,M,,
61.1,0.5,conglomerate,Cobble,,
61.4,0.3,sandstone,M,,
61.8,0.4,sandstone,M,,
61.85,0.05,conglomerate,Cobble,,
62.8,0.95,arkose,M,,
63,0.2,conglomerate,Pebble,,
63.9,0.9,sandstone,M,,
64.2,0.3,sandstone,F,,
64.7,0.5,sandstone,M,,
64.9,0.2,sandstone,C,,
65.4,0.5,conglomerate,Cobble,,
65.65,0.25,sandstone,M,,
65.75,0.1,conglomerate,Pebble,,
65.9,0.15,sandstone,M,,
66.2,0.3,sandstone,VF,,
66.7,0.5,conglomerate,Cobble,,
78.5,11.8,sandstone,cover,,
79.5,1,conglomerate,Cobble,,
79.8,0.3,sandstone,M,,
81.7,1.9,conglomerate,Cobble,,
81.9,0.2,conglomerate,Cobble,,
83.7,1.8,conglomerate,Cobble,,
84,0.3,conglomerate,Cobble,,
84.2,0.2,conglomerate,Cobble,,
84.3,0.1,sandstone,VF,,
85.4,1.1,conglomerate,Pebble,,
85.6,0.2,sandstone,F,,
87.3,1.7,sandstone,cover,,
87.7,0.4,conglomerate,Cobble,,
87.72,0.02,siltstone,VF,,
87.8,0.08,conglomerate,Pebble,,
88.3,0.5,arkose,M,,
93.2,4.9,cover,cover,,
93.4,0.2,conglomerate,Pebble,,
93.9,0.5,sandstone,VF,,
94.6,0.7,arkose,M,,
94.7,0.1,conglomerate,Cobble,,
94.9,0.2,sandstone,M,,
95,0.1,sandstone,C,,
96.4,1.4,conglomerate,Cobble,,
96.6,0.2,sandstone,F,,
96.7,0.1,sandstone,M,,
97,0.3,conglomerate,Pebble,,
97.4,0.4,arkose,VC,,
97.7,0.3,conglomerate,Cobble,,
98.4,0.7,sandstone,M,,
100.5,2.1,conglomerate,Cobble,,
100.8,0.3,sandstone,M,,
102.3,1.5,conglomerate,Cobble,,
102.4,0.1,sandstone,VF,,
102.5,0.1,sandstone,M,,
102.6,0.1,sandstone,M,,
102.7,0.1,sandstone,M,,
102.9,0.2,sandstone,C,,
103.2,0.3,conglomerate,Cobble,,
106.3,3.1,cover,cover,,
107.5,1.2,sandstone,M,,
108.7,1.2,conglomerate,Cobble,,
109.2,0.5,sandstone,M,,
117.4,8.2,cover,cover,,
118,0.6,sandstone,M,,
118.1,0.1,arkose,C,,
123,4.9,conglomerate,Cobble,,
123.2,0.2,sandstone,M,,
125.7,2.5,cover,cover,,
126.3,0.6,sandstone,M,,
129,2.7,cover,cover,,
131.5,2.5,conglomerate,Cobble,,
136.5,5,sandstone,cover,,
138.7,2.2,conglomerate,Cobble,,
138.9,0.2,sandstone,M,,
139.6,0.7,conglomerate,Cobble,,
139.7,0.1,sandstone,M,,
139.8,0.1,siltstone,VF,,
141.8,2,cover,cover,,
142.9,1.1,conglomerate,Cobble,,
143.4,0.5,sandstone,M,,
