sample_name,strat_level
1a,4.655
2a,4.7
3a,4.725
4a,4.76
5a,4.78
6a,4.825
7a,4.895
8a,5.025
9a,5.22
10a,32.66
11a,32.7
12a,32.74
13a,32.78
14a,32.82
