sample_name,strat_level
1a,4.28
2a,4.28
3a,4.31
4a,4.31
5a,4.29
6a,4.29
7a,4.29
8a,4.29
9a,4.54
10a,4.54
11a,4.54
12a,4.54
13a,4.54
14a,0.11
15a,0.11
16a,0.11
17a,0.11
18a,0.13
