,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,HF3-,,,,,,,,,,,,,,,,,,,,,
site_name,Hungarian Falls 3,,,,,,,,,,,,,,,,,,,,,
site_lat,47.17047048,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-88.44442966,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1,mag compass orientation (IGRF corrected),48.93,339,34.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,16.0,5.0,1.0,nan,nan,[355.8053369659517; 72.71174584925988; 55596.98821112404],-4.19466303404829,insufficient data,334.8,nan
2,mag compass orientation (IGRF corrected),48.94,288,19.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,16.0,14.0,1.0,nan,nan,[355.8053368592567; 72.7117444774988; 55596.986574687064],-4.194663140743273,insufficient data,283.8,nan
3,mag compass orientation (IGRF corrected),48.96,331,35.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,16.0,28.0,1.0,nan,nan,[355.80533669328673; 72.71174234364808; 55596.98402911853],-4.194663306713267,insufficient data,326.8,nan
4,sun compass orientation,48.94,308,29.0,208.5,9.0,no,240.0,-4.0,2021.0,7.0,15.0,16.0,34.0,1.0,nan,303.6,[355.80533662215674; 72.71174142914056; 55596.98293816064],-4.194663377843256,-4.399999999999977,303.6,nan
5,sun compass orientation,48.94,310,60.0,208.5,9.0,no,236.0,-4.0,2021.0,7.0,15.0,16.0,44.0,1.0,nan,302.3,[355.8053365036068; 72.71173990496125; 55596.981119897435],-4.194663496393218,-7.699999999999989,302.3,nan
6,sun compass orientation,49,302,51.0,208.5,9.0,no,228.0,-4.0,2021.0,7.0,15.0,16.0,50.0,1.0,nan,295.8,[355.8053364324768; 72.7117389904537; 55596.98002893957],-4.194663567523207,-6.199999999999989,295.8,nan
7,mag compass orientation (IGRF corrected),50.33,338,73.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,16.0,56.0,1.0,nan,nan,[355.80533636134686; 72.71173807594597; 55596.97893798171],-4.1946636386531395,insufficient data,333.8,nan
8,mag compass orientation (IGRF corrected),50.34,333,70.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,17.0,0.0,1.0,nan,nan,[355.8053363139269; 72.71173746627422; 55596.97821067647],-4.194663686073113,insufficient data,328.8,nan
9,mag compass orientation (IGRF corrected),50.37,322,65.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,15.0,17.0,4.0,1.0,nan,nan,[355.8053362665069; 72.71173685660243; 55596.97748337126],-4.194663733493087,insufficient data,317.8,nan
