,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,HF1-,,,,,,,,,,,,,,,,,,,,,
site_name,Hungarian Falls 1,,,,,,,,,,,,,,,,,,,,,
site_lat,47.170556,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-88.446389,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0.0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
0,mag compass orientation (IGRF corrected),80.6,253,78.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,248.8,nan
1,sun compass orientation,80.05,212,9.0,208.5,9.0,no,279.0,-4.0,2021.0,7.0,14.0,10.0,54.0,1.0,nan,207.2,[355.80698842065897; 72.71215033749395; 55597.41204859485],-4.193011579341032,-4.800000000000011,207.2,nan
2,sun compass orientation,80.23,233,81.0,208.5,9.0,no,301.0,-4.0,2021.0,7.0,14.0,11.0,0.0,1.0,nan,230.6,[355.80698834935686; 72.71214942302974; 55597.41095761723],-4.193011650643143,-2.4000000000000057,230.6,nan
3,mag compass orientation (IGRF corrected),80.24,184,71.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,179.8,nan
4,sun compass orientation,80.25,238,77.0,208.5,9.0,no,302.0,-4.0,2021.0,7.0,14.0,11.0,14.0,1.0,nan,235.1,[355.8069881829852; 72.7121472892797; 55597.40841200283],-4.193011817014792,-2.9000000000000057,235.1,nan
5,mag compass orientation (IGRF corrected),80.72,274,46.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,269.8,nan
6,mag compass orientation (IGRF corrected),80.92,276,51.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,271.8,nan
7,mag compass orientation (IGRF corrected),81.04,266,78.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,261.8,nan
8,mag compass orientation (IGRF corrected),80.8,205,64.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,200.8,nan
9,mag compass orientation (IGRF corrected),83.3,226,10.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,221.8,nan
10,mag compass orientation (IGRF corrected),82.39,214,63.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,209.8,nan
12,mag compass orientation (IGRF corrected),82.6,233,63.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,228.8,nan
13,mag compass orientation (IGRF corrected),83.25,258,67.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,253.8,nan
14,mag compass orientation (IGRF corrected),83.55,290,66.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,285.8,nan
15,mag compass orientation (IGRF corrected),83.75,261,81.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,256.8,nan
16,mag compass orientation (IGRF corrected),84.2,284,50.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,279.8,nan
17,mag compass orientation (IGRF corrected),84.2,248,37.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,243.8,nan
19,mag compass orientation (IGRF corrected),85.65,211,30.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,206.8,nan
20,mag compass orientation (IGRF corrected),85.8,258,64.0,208.5,9.0,no,nan,-4.0,2021.0,7.0,14.0,1.0,1.0,1.0,nan,nan,[355.8069954677092; 72.71224071686532; 55597.51987361927],-4.193004532290786,insufficient data,253.8,nan
