tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
HF1-0	HF1-0		This study	LP-NOMAG		
HF1-1	HF1-1		This study	LP-NOMAG		
HF1-2	HF1-2		This study	LP-NOMAG		
HF1-3	HF1-3		This study	LP-NOMAG		
HF1-4	HF1-4		This study	LP-NOMAG		
HF1-5	HF1-5		This study	LP-NOMAG		
HF1-6	HF1-6		This study	LP-NOMAG		
HF1-7	HF1-7		This study	LP-NOMAG		
HF1-8	HF1-8		This study	LP-NOMAG		
HF1-9	HF1-9		This study	LP-NOMAG		
HF1-10	HF1-10		This study	LP-NOMAG		
HF1-12	HF1-12		This study	LP-NOMAG		
HF1-13	HF1-13		This study	LP-NOMAG		
HF1-14	HF1-14		This study	LP-NOMAG		
HF1-15	HF1-15		This study	LP-NOMAG		
HF1-16	HF1-16		This study	LP-NOMAG		
HF1-17	HF1-17		This study	LP-NOMAG		
HF1-19	HF1-19		This study	LP-NOMAG		
HF1-20	HF1-20		This study	LP-NOMAG		
HF1-21	HF1-21		This study	LP-NOMAG		
HF1-22	HF1-22		This study	LP-NOMAG		
HF1-23	HF1-23		This study	LP-NOMAG		
HF1-24	HF1-24		This study	LP-NOMAG		
HF1-25	HF1-25		This study	LP-NOMAG		
HF1-26	HF1-26		This study	LP-NOMAG		
HF1-27	HF1-27		This study	LP-NOMAG		
HF1-28	HF1-28		This study	LP-NOMAG		
HF1-29	HF1-29		This study	LP-NOMAG		
HF1-30	HF1-30		This study	LP-NOMAG		
HF1-31	HF1-31		This study	LP-NOMAG		
HF1-32	HF1-32		This study	LP-NOMAG		
HF1-33	HF1-33		This study	LP-NOMAG		
HF1-34	HF1-34		This study	LP-NOMAG		
HF1-35	HF1-35		This study	LP-NOMAG		
HF1-36	HF1-36		This study	LP-NOMAG		
HF1-37	HF1-37		This study	LP-NOMAG		
HF1-38	HF1-38		This study	LP-NOMAG		
HF1-39	HF1-39		This study	LP-NOMAG		
HF1-40	HF1-40		This study	LP-NOMAG		
HF1-41	HF1-41		This study	LP-NOMAG		
HF1-42	HF1-42		This study	LP-NOMAG		
HF1-43	HF1-43		This study	LP-NOMAG		
HF1-44	HF1-44		This study	LP-NOMAG		
HF1-45	HF1-45		This study	LP-NOMAG		
HF1-46	HF1-46		This study	LP-NOMAG		
HF1-47	HF1-47		This study	LP-NOMAG		
HF1-48	HF1-48		This study	LP-NOMAG		
HF1-49	HF1-49		This study	LP-NOMAG		
HF1-50	HF1-50		This study	LP-NOMAG		
HF1-52	HF1-52		This study	LP-NOMAG		
HF1-53	HF1-53		This study	LP-NOMAG		
HF1-54	HF1-54		This study	LP-NOMAG		
HF1-55	HF1-55		This study	LP-NOMAG		
HF1-56	HF1-56		This study	LP-NOMAG		
HF1-57	HF1-57		This study	LP-NOMAG		
HF1-58	HF1-58		This study	LP-NOMAG		
HF1-59	HF1-59		This study	LP-NOMAG		
HF1-60	HF1-60		This study	LP-NOMAG		
HF1-61	HF1-61		This study	LP-NOMAG		
HF1-62	HF1-62		This study	LP-NOMAG		
HF1-63	HF1-63		This study	LP-NOMAG		
HF1-64	HF1-64		This study	LP-NOMAG		
HF1-65	HF1-65		This study	LP-NOMAG		
HF1-66	HF1-66		This study	LP-NOMAG		
HF1-67	HF1-67		This study	LP-NOMAG		
HF1-69	HF1-69		This study	LP-NOMAG		
HF1-70	HF1-70		This study	LP-NOMAG		
HF1-71	HF1-71		This study	LP-NOMAG		
HF1-72	HF1-72		This study	LP-NOMAG		
HF1-74	HF1-74		This study	LP-NOMAG		
HF1-76	HF1-76		This study	LP-NOMAG		
HF1-77	HF1-77		This study	LP-NOMAG		
HF1-78	HF1-78		This study	LP-NOMAG		
HF1-79	HF1-79		This study	LP-NOMAG		
HF1-80	HF1-80		This study	LP-NOMAG		
HF1-81	HF1-81		This study	LP-NOMAG		
HF1-82	HF1-82		This study	LP-NOMAG		
HF1-83	HF1-83		This study	LP-NOMAG		
HF1-85	HF1-85		This study	LP-NOMAG		
HF1-86	HF1-86		This study	LP-NOMAG		
HF1-87	HF1-87		This study	LP-NOMAG		
HF1-88	HF1-88		This study	LP-NOMAG		
HF1-89	HF1-89		This study	LP-NOMAG		
HF1-90	HF1-90		This study	LP-NOMAG		
HF1-91	HF1-91		This study	LP-NOMAG		
HF1-94	HF1-94		This study	LP-NOMAG		
HF1-95	HF1-95		This study	LP-NOMAG		
HF1-96	HF1-96		This study	LP-NOMAG		
HF1-97	HF1-97		This study	LP-NOMAG		
HF1-98	HF1-98		This study	LP-NOMAG		
HF1-100	HF1-100		This study	LP-NOMAG		
HF1-101	HF1-101		This study	LP-NOMAG		
HF1-102	HF1-102		This study	LP-NOMAG		
HF1-103	HF1-103		This study	LP-NOMAG		
HF1-104	HF1-104		This study	LP-NOMAG		
HF1-106	HF1-106		This study	LP-NOMAG		
HF1-107	HF1-107		This study	LP-NOMAG		
HF1-108	HF1-108		This study	LP-NOMAG		
HF1-109	HF1-109		This study	LP-NOMAG		
HF1-110	HF1-110		This study	LP-NOMAG		
HF1-111	HF1-111		This study	LP-NOMAG		
HF1-112	HF1-112		This study	LP-NOMAG		
HF1-113	HF1-113		This study	LP-NOMAG		
HF1-114	HF1-114		This study	LP-NOMAG		
HF1-116	HF1-116		This study	LP-NOMAG		
HF1-117	HF1-117		This study	LP-NOMAG		
HF1-118	HF1-118		This study	LP-NOMAG		
