tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	234.8	0.0	9.0	298.5	This study	-34.0			96.83		SO-CMD-NORTH	HF1-63	HF1
	-58.2	0.0	9.0	298.5	This study	-63.0			97.3		SO-CMD-NORTH	HF1-64	HF1
	249.8	0.0	9.0	298.5	This study	-52.0			98.2		SO-CMD-NORTH	HF1-65	HF1
	-79.2	0.0	9.0	298.5	This study	-60.0			98.3		SO-CMD-NORTH	HF1-66	HF1
	-70.2	0.0	9.0	298.5	This study	-51.0			98.37		SO-CMD-NORTH	HF1-67	HF1
	251.8	0.0	9.0	298.5	This study	-56.0			98.65		SO-CMD-NORTH	HF1-69	HF1
	264.8	0.0	9.0	298.5	This study	-39.0			98.8		SO-CMD-NORTH	HF1-70	HF1
	260.8	0.0	9.0	298.5	This study	-58.0			98.92		SO-CMD-NORTH	HF1-71	HF1
	256.8	0.0	9.0	298.5	This study	-44.0			99.0		SO-CMD-NORTH	HF1-72	HF1
	240.8	0.0	9.0	298.5	This study	-42.0			99.19		SO-CMD-NORTH	HF1-74	HF1
	245.8	0.0	9.0	298.5	This study	-50.0			99.47		SO-CMD-NORTH	HF1-76	HF1
	246.8	0.0	9.0	298.5	This study	-79.0			99.57		SO-CMD-NORTH	HF1-77	HF1
	261.8	0.0	9.0	298.5	This study	-81.0			99.7		SO-CMD-NORTH	HF1-78	HF1
	237.8	0.0	9.0	298.5	This study	-87.0			99.81		SO-CMD-NORTH	HF1-79	HF1
	242.8	0.0	9.0	298.5	This study	-78.0			99.9		SO-CMD-NORTH	HF1-80	HF1
	-89.2	0.0	9.0	298.5	This study	-39.0			101.66		SO-CMD-NORTH	HF1-81	HF1
	227.8	0.0	9.0	298.5	This study	-71.0			101.69		SO-CMD-NORTH	HF1-82	HF1
	252.8	0.0	9.0	298.5	This study	-39.0			101.8		SO-CMD-NORTH	HF1-83	HF1
	257.8	0.0	9.0	298.5	This study	-56.0			101.91		SO-CMD-NORTH	HF1-85	HF1
	230.8	0.0	9.0	298.5	This study	-61.0			102.01		SO-CMD-NORTH	HF1-86	HF1
	251.8	0.0	9.0	298.5	This study	-54.0			102.02		SO-CMD-NORTH	HF1-87	HF1
	262.8	0.0	9.0	298.5	This study	-78.0			102.37		SO-CMD-NORTH	HF1-88	HF1
	253.8	0.0	9.0	298.5	This study	-72.0			103.32		SO-CMD-NORTH	HF1-89	HF1
	246.8	0.0	9.0	298.5	This study	-47.0			104.85		SO-CMD-NORTH	HF1-90	HF1
	250.8	0.0	9.0	298.5	This study	-44.0			104.9		SO-CMD-NORTH	HF1-91	HF1
	182.8	0.0	9.0	298.5	This study	-51.0			106.55		SO-CMD-NORTH	HF1-94	HF1
	195.8	0.0	9.0	298.5	This study	-50.0			107.1		SO-CMD-NORTH	HF1-95	HF1
	195.8	0.0	9.0	298.5	This study	-65.0			107.98		SO-CMD-NORTH	HF1-96	HF1
	194.8	0.0	9.0	298.5	This study	-84.0			108.48		SO-CMD-NORTH	HF1-97	HF1
	234.1	0.0	9.0	298.5	This study	-52.0			110.92		SO-CMD-NORTH	HF1-98	HF1
	245.6	0.0	9.0	298.5	This study	-54.0			111.08		SO-CMD-NORTH	HF1-100	HF1
	250.7	0.0	9.0	298.5	This study	-55.0			111.16		SO-CMD-NORTH	HF1-101	HF1
