tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
HF1-0		HF1-0																	This study	LP-NOMAG				Keweenaw Peninsula	HF1
HF1-0	HF1-0_LP-DIR-T	HF1-0		lt	22.3	81.9	2	3	100	87.8	11.8	573	273	K		hargrave 2021-12-23 13:41:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	HF1
HF1-0	HF1-0_LP-DIR-T	HF1-0		hdt	35.0	-17.1	2	7	100	8.7	5.7	960	938	K		hargrave 2021-12-23 13:41:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	HF1
HF1-0	HF1-0_LP-DIR-T	HF1-0		hdt	32.1	-17.9	2	7	0	8.7	5.7	960	938	K		hargrave 2021-12-23 13:41:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	HF1
HF1-0	HF1-0_LP-DIR-T	HF1-0		lt	180.9	0.6	2	3	-1	87.8	11.8	573	273	K		hargrave 2021-12-23 13:41:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	HF1
HF1-0	HF1-0_LP-DIR-T	HF1-0		hdt	76.0	-54.2	2	7	-1	8.7	5.7	960	938	K		hargrave 2021-12-23 13:41:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	HF1
HF1-0	HF1-0_LP-DIR-T	HF1-0		lt	73.5	78.6	2	3	0	87.8	11.8	573	273	K		hargrave 2021-12-23 13:41:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	HF1
HF1-1	HF1-1_LP-DIR-T	HF1-1		hdt	59.3	-31.7	2	7	100	5.7	8.3	956	928	K		hargrave 2021-12-23 13:42:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	HF1
HF1-1		HF1-1																	This study	LP-NOMAG				Keweenaw Peninsula	HF1
HF1-1	HF1-1_LP-DIR-T	HF1-1		hdt	210.4	-43.9	2	7	-1	5.7	8.3	956	928	K		hargrave 2021-12-23 13:42:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	HF1
HF1-1	HF1-1_LP-DIR-T	HF1-1		lt	302.0	61.9	2	3	-1	94.5	11.1	573	273	K		hargrave 2021-12-23 13:42:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	HF1
